X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
0, 0, 0, 0, im_001_001_001.png, 0, 0, 0
100, 0, 0, 0, im_002_001_001.png, 1, 0, 0
200, 0, 0, 0, im_003_001_001.png, 2, 0, 0
300, 0, 0, 0, im_004_001_001.png, 3, 0, 0
900, 0, 0, 0, im_010_001_001.png, 9, 0, 0
1000, 0, 0, 0, im_011_001_001.png, 10, 0, 0
1100, 0, 0, 0, im_012_001_001.png, 11, 0, 0
1200, 0, 0, 0, im_013_001_001.png, 12, 0, 0
1300, 0, 0, 0, im_014_001_001.png, 13, 0, 0
2100, 0, 0, 0, im_022_001_001.png, 21, 0, 0
2200, 0, 0, 0, im_023_001_001.png, 22, 0, 0
2300, 0, 0, 0, im_024_001_001.png, 23, 0, 0
2400, 0, 0, 0, im_025_001_001.png, 24, 0, 0
2500, 0, 0, 0, im_026_001_001.png, 25, 0, 0
2600, 0, 0, 0, im_027_001_001.png, 26, 0, 0
2700, 0, 0, 0, im_028_001_001.png, 27, 0, 0
2800, 0, 0, 0, im_029_001_001.png, 28, 0, 0
0, 100, 0, 0, im_001_002_001.png, 0, 1, 0
100, 100, 0, 0, im_002_002_001.png, 1, 1, 0
200, 100, 0, 0, im_003_002_001.png, 2, 1, 0
900, 100, 0, 0, im_010_002_001.png, 9, 1, 0
1000, 100, 0, 0, im_011_002_001.png, 10, 1, 0
1100, 100, 0, 0, im_012_002_001.png, 11, 1, 0
1200, 100, 0, 0, im_013_002_001.png, 12, 1, 0
2200, 100, 0, 0, im_023_002_001.png, 22, 1, 0
2300, 100, 0, 0, im_024_002_001.png, 23, 1, 0
2400, 100, 0, 0, im_025_002_001.png, 24, 1, 0
2500, 100, 0, 0, im_026_002_001.png, 25, 1, 0
2600, 100, 0, 0, im_027_002_001.png, 26, 1, 0
2700, 100, 0, 0, im_028_002_001.png, 27, 1, 0
2800, 100, 0, 0, im_029_002_001.png, 28, 1, 0
0, 200, 0, 0, im_001_003_001.png, 0, 2, 0
100, 200, 0, 0, im_002_003_001.png, 1, 2, 0
200, 200, 0, 0, im_003_003_001.png, 2, 2, 0
900, 200, 0, 0, im_010_003_001.png, 9, 2, 0
1000, 200, 0, 0, im_011_003_001.png, 10, 2, 0
1100, 200, 0, 0, im_012_003_001.png, 11, 2, 0
1200, 200, 0, 0, im_013_003_001.png, 12, 2, 0
2200, 200, 0, 0, im_023_003_001.png, 22, 2, 0
2300, 200, 0, 0, im_024_003_001.png, 23, 2, 0
2400, 200, 0, 0, im_025_003_001.png, 24, 2, 0
2500, 200, 0, 0, im_026_003_001.png, 25, 2, 0
2600, 200, 0, 0, im_027_003_001.png, 26, 2, 0
2700, 200, 0, 0, im_028_003_001.png, 27, 2, 0
2800, 200, 0, 0, im_029_003_001.png, 28, 2, 0
0, 300, 0, 0, im_001_004_001.png, 0, 3, 0
100, 300, 0, 0, im_002_004_001.png, 1, 3, 0
900, 300, 0, 0, im_010_004_001.png, 9, 3, 0
1000, 300, 0, 0, im_011_004_001.png, 10, 3, 0
1100, 300, 0, 0, im_012_004_001.png, 11, 3, 0
1200, 300, 0, 0, im_013_004_001.png, 12, 3, 0
2200, 300, 0, 0, im_023_004_001.png, 22, 3, 0
2300, 300, 0, 0, im_024_004_001.png, 23, 3, 0
2400, 300, 0, 0, im_025_004_001.png, 24, 3, 0
2500, 300, 0, 0, im_026_004_001.png, 25, 3, 0
2600, 300, 0, 0, im_027_004_001.png, 26, 3, 0
2700, 300, 0, 0, im_028_004_001.png, 27, 3, 0
2800, 300, 0, 0, im_029_004_001.png, 28, 3, 0
0, 400, 0, 0, im_001_005_001.png, 0, 4, 0
100, 400, 0, 0, im_002_005_001.png, 1, 4, 0
900, 400, 0, 0, im_010_005_001.png, 9, 4, 0
1000, 400, 0, 0, im_011_005_001.png, 10, 4, 0
1100, 400, 0, 0, im_012_005_001.png, 11, 4, 0
1200, 400, 0, 0, im_013_005_001.png, 12, 4, 0
2200, 400, 0, 0, im_023_005_001.png, 22, 4, 0
2300, 400, 0, 0, im_024_005_001.png, 23, 4, 0
2400, 400, 0, 0, im_025_005_001.png, 24, 4, 0
2500, 400, 0, 0, im_026_005_001.png, 25, 4, 0
2600, 400, 0, 0, im_027_005_001.png, 26, 4, 0
2700, 400, 0, 0, im_028_005_001.png, 27, 4, 0
2800, 400, 0, 0, im_029_005_001.png, 28, 4, 0
0, 500, 0, 0, im_001_006_001.png, 0, 5, 0
100, 500, 0, 0, im_002_006_001.png, 1, 5, 0
1000, 500, 0, 0, im_011_006_001.png, 10, 5, 0
1100, 500, 0, 0, im_012_006_001.png, 11, 5, 0
1200, 500, 0, 0, im_013_006_001.png, 12, 5, 0
1300, 500, 0, 0, im_014_006_001.png, 13, 5, 0
2100, 500, 0, 0, im_022_006_001.png, 21, 5, 0
2200, 500, 0, 0, im_023_006_001.png, 22, 5, 0
2300, 500, 0, 0, im_024_006_001.png, 23, 5, 0
2400, 500, 0, 0, im_025_006_001.png, 24, 5, 0
2500, 500, 0, 0, im_026_006_001.png, 25, 5, 0
2600, 500, 0, 0, im_027_006_001.png, 26, 5, 0
2700, 500, 0, 0, im_028_006_001.png, 27, 5, 0
2800, 500, 0, 0, im_029_006_001.png, 28, 5, 0
0, 600, 0, 0, im_001_007_001.png, 0, 6, 0
100, 600, 0, 0, im_002_007_001.png, 1, 6, 0
1000, 600, 0, 0, im_011_007_001.png, 10, 6, 0
